Data,Cidade,UF,Vendedor,Salario,Veículo,Preço
2020-01-06,Americana,SP,Elian Belli,1800,Ka,46863
2020-01-06,Americana,SP,Elian Belli,1800,EcoSport,33250
2020-01-06,Americana,SP,Elian Belli,1800,EcoSport,41291
2020-01-06,Americana,SP,Elian Belli,1800,Logan,28386
2020-01-06,Americana,SP,Elian Belli,1800,Pálio,50285
2020-01-06,Americana,SP,Elian Belli,1800,EcoSport,19305
2020-01-06,Americana,SP,Elian Belli,1800,EcoSport,15410
2020-01-06,Americana,SP,Elian Belli,1800,Pálio,55474
2020-01-06,Americana,SP,Elian Belli,1800,Polo,42202
2020-01-06,Americana,SP,Elian Belli,1800,Pálio,15557
2020-01-06,Americana,SP,Elian Belli,1800,Pálio,43022
2020-01-25,Americana,SP,Elian Belli,1800,Pálio,42765
2020-01-25,Americana,SP,Elian Belli,1800,Fiesta,10912
2020-01-25,Americana,SP,Elian Belli,1800,Logan,10572
2020-01-25,Americana,SP,Elian Belli,1800,Civic,15395
2020-01-09,Americana,SP,Elian Belli,1800,Logan,21399
2020-01-09,Americana,SP,Elian Belli,1800,Corola,10979
2020-01-09,Americana,SP,Elian Belli,1800,Corola,41842
2020-01-09,Americana,SP,Elian Belli,1800,Logan,18311
2020-01-18,Americana,SP,Elian Belli,1800,EcoSport,20572
2020-01-14,Americana,SP,Elian Belli,1800,Uno,40375
2020-01-14,Americana,SP,Elian Belli,1800,Polo,57665
2020-01-20,Americana,SP,Elian Belli,1800,Fiesta,10781
2020-01-20,Americana,SP,Elian Belli,1800,Ka,21900
2020-01-20,Americana,SP,Elian Belli,1800,Civic,29383
2020-01-20,Americana,SP,Elian Belli,1800,Gol,49164
2020-01-20,Americana,SP,Elian Belli,1800,Civic,58818
2020-01-20,Americana,SP,Elian Belli,1800,Gol,29778
2020-01-20,Americana,SP,Elian Belli,1800,Ka,34326
2020-01-20,Americana,SP,Elian Belli,1800,Pálio,22904
2020-01-20,Americana,SP,Elian Belli,1800,EcoSport,24974
2020-01-20,Americana,SP,Elian Belli,1800,Logan,37997
2020-01-11,Americana,SP,Elian Belli,1800,Pálio,56084
2020-01-11,Americana,SP,Elian Belli,1800,Gol,37547
2020-01-11,Americana,SP,Elian Belli,1800,Polo,29029
2020-01-11,Americana,SP,Elian Belli,1800,Uno,30282
2020-01-11,Americana,SP,Elian Belli,1800,Corola,25298
2020-01-11,Americana,SP,Elian Belli,1800,Uno,15489
2020-01-27,Americana,SP,Elian Belli,1800,Logan,24723
2020-01-27,Americana,SP,Elian Belli,1800,EcoSport,45786
2020-01-27,Americana,SP,Elian Belli,1800,Uno,12275
2020-01-27,Americana,SP,Elian Belli,1800,EcoSport,56889
2020-01-18,Americana,SP,Elian Belli,1800,Polo,56379
2020-01-18,Americana,SP,Elian Belli,1800,Logan,51574
2020-01-18,Americana,SP,Elian Belli,1800,Cruze,18499
2020-01-18,Americana,SP,Elian Belli,1800,Polo,41386
2020-01-18,Americana,SP,Elian Belli,1800,EcoSport,19105
2020-01-18,Americana,SP,Elian Belli,1800,Uno,29535
2020-01-18,Americana,SP,Elian Belli,1800,Fiesta,48475
2020-01-07,Americana,SP,Elian Belli,1800,Civic,50275
2020-01-07,Americana,SP,Elian Belli,1800,EcoSport,40163
2020-01-07,Americana,SP,Elian Belli,1800,Polo,50210
2020-01-07,Americana,SP,Elian Belli,1800,Polo,29034
2020-01-20,Americana,SP,Elian Belli,1800,EcoSport,52243
2020-01-20,Americana,SP,Elian Belli,1800,Civic,47390
2020-01-21,Americana,SP,Elian Belli,1800,Cruze,37176
2020-01-21,Americana,SP,Elian Belli,1800,Civic,41932
2020-01-21,Americana,SP,Elian Belli,1800,Cruze,58198
2020-01-21,Americana,SP,Elian Belli,1800,Pálio,54081
2020-01-21,Americana,SP,Elian Belli,1800,Corola,49762
2020-01-21,Americana,SP,Elian Belli,1800,Cruze,42985
2020-01-09,Americana,SP,Elian Belli,1800,EcoSport,51685
2020-01-09,Americana,SP,Elian Belli,1800,Fiesta,46209
2020-01-18,Americana,SP,Elian Belli,1800,Polo,36078
2020-01-18,Americana,SP,Elian Belli,1800,Ka,21191
2020-01-18,Americana,SP,Elian Belli,1800,Polo,40488
2020-01-18,Americana,SP,Elian Belli,1800,Fiesta,21677
2020-01-18,Americana,SP,Elian Belli,1800,Ka,27759
2020-01-18,Americana,SP,Elian Belli,1800,Ka,57595
2020-01-18,Americana,SP,Elian Belli,1800,Logan,10610
2020-01-18,Americana,SP,Elian Belli,1800,EcoSport,59955
2020-01-18,Americana,SP,Elian Belli,1800,Gol,22883
2020-01-18,Americana,SP,Elian Belli,1800,Ka,34165
2020-01-01,Americana,SP,Elian Belli,1800,Logan,57196
2020-01-01,Americana,SP,Elian Belli,1800,Pálio,20290
2020-01-01,Americana,SP,Elian Belli,1800,Logan,35480
2020-01-01,Americana,SP,Elian Belli,1800,Ka,16068
2020-01-01,Americana,SP,Elian Belli,1800,Polo,28080
2020-01-01,Americana,SP,Elian Belli,1800,Uno,20037
2020-01-01,Americana,SP,Elian Belli,1800,Ka,38882
2020-01-01,Americana,SP,Elian Belli,1800,Cruze,19592
